pid,coauthor_pid,years
75/9436,163/0545,2021
75/9436,f/MJFranklin,2021
75/9436,147/1189,2021
75/9436,117/3757,2021
75/9436,155/5478,2021
75/9436,163/0545,2020
75/9436,155/5478,2020
75/9436,117/3757,2020
75/9436,147/1189,2020
75/9436,f/MJFranklin,2020
75/9436,131/4202,2020
75/9436,94/2844,2019
75/9436,155/5478,2019
75/9436,117/3757,2019
75/9436,147/1189,2019
75/9436,f/MJFranklin,2019
75/9436,163/0545,2019
75/9436,43/2286,2019
75/9436,117/3757,2018
75/9436,f/MJFranklin,2018
75/9436,87/8324,2018
75/9436,y/JXuYu,2018
75/9436,155/5478,2018
75/9436,147/1189,2018
75/9436,155/5478,2017
75/9436,m/SamuelMadden,2017
75/9436,09/6353,2017
75/9436,25/6583,2017
75/9436,43/2286,2017
75/9436,s/MichaelStonebraker,2017
75/9436,m/SamuelMadden,2016
75/9436,d/AmolDeshpande,2016
75/9436,147/1198,2016
75/9436,58/4127,2016
75/9436,s/MichaelStonebraker,2016
75/9436,43/2286,2016
75/9436,180/5761,2016
75/9436,25/6583,2016
75/9436,t/NesimeTatbul,2016
75/9436,43/2286,2015
75/9436,s/MichaelStonebraker,2015
75/9436,b/MagdalenaBalazinska,2015
75/9436,c/UgurCetintemel,2015
75/9436,h/BillHowe,2015
75/9436,25/6583,2015
75/9436,26/6037,2015
75/9436,m/SamuelMadden,2015
75/9436,t/NesimeTatbul,2015
75/9436,25/7592,2015
75/9436,d/AmolDeshpande,2015
75/9436,41/3679,2015
75/9436,147/1198,2015
75/9436,58/4127,2015
75/9436,a/DivyakantAgrawal,2015
75/9436,a/AmrElAbbadi,2015
75/9436,147/1198,2014
75/9436,m/EssamMansour,2014
75/9436,43/2286,2014
75/9436,58/4127,2014
75/9436,s/MichaelStonebraker,2014
75/9436,d/AmolDeshpande,2014
75/9436,m/SamuelMadden,2014
75/9436,c/CarloCurino,2013
75/9436,a/DivyakantAgrawal,2013
75/9436,a/AmrElAbbadi,2013
75/9436,71/5974,2013
75/9436,y/XifengYan,2013
75/9436,a/DivyakantAgrawal,2012
75/9436,a/AmrElAbbadi,2012
75/9436,o/BengChinOoi,2012
75/9436,71/5974,2012
75/9436,52/1382,2012
75/9436,58/4127,2012
75/9436,86/9726,2012
75/9436,a/DivyakantAgrawal,2011
75/9436,a/AmrElAbbadi,2011
75/9436,71/5974,2011
162/9092,250/2789,2019
162/9092,96/7128,2019
162/9092,w/GerhardWeikum,2019
162/9092,96/7128,2018
162/9092,w/GerhardWeikum,2018
162/9092,t/MartinTheobald,2017
162/9092,w/GerhardWeikum,2017
162/9092,96/7128,2017
162/9092,r/MirekRiedewald,2017
162/9092,w/GerhardWeikum,2015
127/6195,87/10957,2021
127/6195,87/11444,2021
127/6195,o/FatmaOzcan,2021
127/6195,37/3868,2021
127/6195,w/WeiWang,2021
127/6195,54/6752,2021
127/6195,129/8181,2020
127/6195,87/10957,2020
127/6195,o/FatmaOzcan,2020
127/6195,87/11444,2020
127/6195,27/3375,2020
127/6195,129/8181,2019
127/6195,o/FatmaOzcan,2019
127/6195,87/10957,2019
127/6195,87/10957,2018
127/6195,o/FatmaOzcan,2018
127/6195,129/8181,2018
127/6195,g/HimanshuGupta,2017
127/6195,12/1770-5,2017
127/6195,56/451,2017
127/6195,22/835-1,2017
127/6195,60/2319,2017
127/6195,o/FatmaOzcan,2017
127/6195,129/8181,2017
127/6195,58/1388,2017
127/6195,131/4202,2016
127/6195,g/JonathanGoldstein,2016
127/6195,d/AmolDeshpande,2016
127/6195,d/AmolDeshpande,2014
127/6195,g/JonathanGoldstein,2013
127/6195,d/AmolDeshpande,2013
121/4198,27/104-1,2020
121/4198,o/MouradOuzzani,2020
121/4198,25/7045-12,2020
121/4198,s/MichaelStonebraker,2020
121/4198,27/104-1,2019
121/4198,o/MouradOuzzani,2019
121/4198,25/7045-12,2019
121/4198,s/MichaelStonebraker,2019
121/4198,131/4202,2018
121/4198,m/EssamMansour,2018
121/4198,i/IhabFIlyas,2018
121/4198,m/SamuelMadden,2018
121/4198,o/MouradOuzzani,2018
121/4198,s/MichaelStonebraker,2018
121/4198,27/104-1,2018
121/4198,71/8700-1,2018
121/4198,38/8707,2018
121/4198,131/4202,2017
121/4198,71/8700-1,2017
121/4198,m/EssamMansour,2017
121/4198,38/8707,2017
121/4198,i/IhabFIlyas,2017
121/4198,m/SamuelMadden,2017
121/4198,o/MouradOuzzani,2017
121/4198,s/MichaelStonebraker,2017
121/4198,27/104-1,2017
116/1678,52/6987,2022
116/1678,06/900-1,2022
116/1678,m/AnimeshMukherjee,2022
116/1678,06/900-1,2021
116/1678,m/AnimeshMukherjee,2021
116/1678,52/6987,2020
116/1678,06/900-1,2020
116/1678,06/900-1,2019
116/1678,52/6987,2019
116/1678,52/6987,2018
116/1678,06/900-1,2018
116/1678,52/6987,2017
116/1678,06/900-1,2017
116/1678,52/6987,2016
116/1678,139/2312,2016
116/1678,m/AnimeshMukherjee,2016
116/1678,06/900-1,2016
116/1678,52/6987,2015
116/1678,06/900-1,2015
116/1678,06/900-1,2012
116/1678,52/6987,2012
139/0855,g/ManishGupta1,2019
139/0855,03/4045,2019
139/0855,g/ManishGupta1,2018
139/0855,03/4045,2018
139/0855,g/ManishGupta1,2017
139/0855,03/4045,2017
04/7892,222/9741,2021
04/7892,57/10514,2021
04/7892,07/1181,2021
04/7892,s/DiveshSrivastava,2021
04/7892,58/3771,2021
04/7892,j/HVJagadish,2021
04/7892,23/7274,2021
04/7892,g/PaoloGarza,2021
04/7892,131/4767,2021
04/7892,j/HVJagadish,2020
04/7892,58/3771,2020
04/7892,222/9741,2020
04/7892,57/10514,2020
04/7892,07/1181,2020
04/7892,s/DiveshSrivastava,2020
04/7892,j/HVJagadish,2019
04/7892,s/JuliaStoyanovich,2019
04/7892,57/10514,2019
04/7892,k/NickKoudas,2019
04/7892,07/1181,2019
04/7892,222/9741,2019
04/7892,s/DiveshSrivastava,2019
04/7892,h/BillHowe,2019
04/7892,222/9741,2018
04/7892,57/10514,2018
04/7892,07/1181,2018
04/7892,s/DiveshSrivastava,2018
04/7892,k/NickKoudas,2018
04/7892,j/HVJagadish,2018
04/7892,s/JuliaStoyanovich,2018
04/7892,80/4136,2018
04/7892,h/BillHowe,2018
04/7892,k/NickKoudas,2017
04/7892,07/1181,2017
04/7892,j/HVJagadish,2017
04/7892,s/JuliaStoyanovich,2017
04/7892,57/10514,2016
04/7892,07/1181,2016
04/7892,14/3692,2016
04/7892,14/3692,2015
04/7892,57/10514,2015
04/7892,07/1181,2015
04/7892,14/3692,2014
j/AdamJatowt,y/MasatoshiYoshikawa,2021
j/AdamJatowt,76/1820-20,2021
j/AdamJatowt,y/MasatoshiYoshikawa,2020
j/AdamJatowt,76/1820-20,2020
j/AdamJatowt,b/SSBhowmick,2019
j/AdamJatowt,y/MasatoshiYoshikawa,2019
j/AdamJatowt,75/6588-3,2019
j/AdamJatowt,75/6588-3,2018
j/AdamJatowt,b/SSBhowmick,2018
j/AdamJatowt,y/MasatoshiYoshikawa,2018
j/AdamJatowt,75/6588-3,2017
j/AdamJatowt,b/SSBhowmick,2017
j/AdamJatowt,b/SSBhowmick,2016
j/AdamJatowt,75/6588-3,2016
j/AdamJatowt,b/SSBhowmick,2015
j/AdamJatowt,17/2778,2010
j/AdamJatowt,17/2778,2008
j/AdamJatowt,17/2778,2007
62/1373,c/PKChrysanthis,2020
62/1373,l/ALabrinidis,2019
62/1373,c/PKChrysanthis,2019
62/1373,l/ALabrinidis,2016
62/1373,l/ALabrinidis,2015
62/1373,c/PKChrysanthis,2015
62/1373,y/TingYu,2015
62/1373,z/DemetriosZeinalipourYazti,2015
62/1373,142/7802,2015
62/1373,c/PKChrysanthis,2014
62/1373,l/ALabrinidis,2014
62/1373,y/TingYu,2014
62/1373,c/PKChrysanthis,2013
62/1373,y/TingYu,2013
62/1373,y/TingYu,2012
62/1373,y/TingYu,2011
62/1373,c/PKChrysanthis,2011
62/1373,y/TingYu,2010
62/1373,y/TingYu,2009
62/1373,y/TingYu,2008
62/1373,y/TingYu,2007
21/8510,a/DJAbadi,2016
21/8510,a/DJAbadi,2015
21/8510,a/DJAbadi,2014
21/8510,147/1195,2014
21/8510,a/DJAbadi,2013
21/8510,a/DJAbadi,2012
21/8510,a/DJAbadi,2010
04/1835,09/3012,2021
04/1835,77/4620,2021
04/1835,29/11192,2021
04/1835,h/PeterJHaas,2021
04/1835,136/7969,2021
04/1835,241/7225,2021
04/1835,f/JulianaFreire,2021
04/1835,s/DiveshSrivastava,2021
04/1835,29/11192,2020
04/1835,h/PeterJHaas,2020
04/1835,117/4879-1,2019
04/1835,29/11192,2019
04/1835,d/XinLunaDong,2019
04/1835,117/4879-1,2018
04/1835,29/11192,2018
04/1835,117/4879-1,2017
04/1835,41/3679,2017
04/1835,136/7969,2017
04/1835,117/4879-1,2016
04/1835,41/3679,2016
04/1835,117/4879-1,2015
04/1835,d/XinLunaDong,2015
04/1835,s/DiveshSrivastava,2015
04/1835,77/4620,2014
04/1835,s/DanSuciu,2014
04/1835,d/XinLunaDong,2014
04/1835,s/DiveshSrivastava,2014
04/1835,s/DanSuciu,2012
04/1835,s/DanSuciu,2011
04/1835,k/ChristophKoch,2010
04/1835,s/DanSuciu,2010
04/1835,s/DanSuciu,2009
04/1835,s/TimosKSellis,2008
l/ALabrinidis,142/7802,2021
l/ALabrinidis,c/PKChrysanthis,2021
l/ALabrinidis,142/7802,2020
l/ALabrinidis,c/PKChrysanthis,2020
l/ALabrinidis,62/1373,2019
l/ALabrinidis,142/7802,2018
l/ALabrinidis,c/PKChrysanthis,2018
l/ALabrinidis,s/MohamedASharaf,2018
l/ALabrinidis,142/7802,2017
l/ALabrinidis,c/PKChrysanthis,2017
l/ALabrinidis,s/MohamedASharaf,2017
l/ALabrinidis,c/PKChrysanthis,2016
l/ALabrinidis,92/2820,2016
l/ALabrinidis,62/1373,2016
l/ALabrinidis,c/PKChrysanthis,2015
l/ALabrinidis,62/1373,2015
l/ALabrinidis,142/7802,2015
l/ALabrinidis,j/HVJagadish,2014
l/ALabrinidis,g/JohannesGehrke,2014
l/ALabrinidis,p/YPapakonstantinou,2014
l/ALabrinidis,s/CyrusShahabi,2014
l/ALabrinidis,c/PKChrysanthis,2014
l/ALabrinidis,62/1373,2014
l/ALabrinidis,c/PKChrysanthis,2013
l/ALabrinidis,b/MagdalenaBalazinska,2013
l/ALabrinidis,h/BillHowe,2013
l/ALabrinidis,c/PKChrysanthis,2012
l/ALabrinidis,j/HVJagadish,2012
l/ALabrinidis,s/MohamedASharaf,2012
l/ALabrinidis,s/MohamedASharaf,2011
l/ALabrinidis,c/PKChrysanthis,2011
l/ALabrinidis,c/ShiminChen,2011
l/ALabrinidis,s/MohamedASharaf,2010
l/ALabrinidis,c/PKChrysanthis,2010
l/ALabrinidis,l/QiongLuo,2009
l/ALabrinidis,c/PKChrysanthis,2009
l/ALabrinidis,s/MohamedASharaf,2009
l/ALabrinidis,s/MohamedASharaf,2008
l/ALabrinidis,c/PKChrysanthis,2008
l/ALabrinidis,b/MagdalenaBalazinska,2007
l/ALabrinidis,d/AmolDeshpande,2007
l/ALabrinidis,l/QiongLuo,2007
l/ALabrinidis,m/SamuelMadden,2007
l/ALabrinidis,y/JunYang1,2007
l/ALabrinidis,c/PKChrysanthis,2006
l/ALabrinidis,s/MohamedASharaf,2006
l/ALabrinidis,c/PKChrysanthis,2005
l/ALabrinidis,s/MohamedASharaf,2005
l/ALabrinidis,c/IFCruz,2004
l/ALabrinidis,m/SamuelMadden,2004
l/ALabrinidis,s/MohamedASharaf,2004
l/ALabrinidis,c/PKChrysanthis,2004
l/ALabrinidis,l/QiongLuo,2004
l/ALabrinidis,s/MohamedASharaf,2003
l/ALabrinidis,c/PKChrysanthis,2003
l/ALabrinidis,k/FlipKorn,2000
l/ALabrinidis,k/FlipKorn,1998
92/2820,w/RaymondChiWingWong,2022
92/2820,97/3036,2021
92/2820,l/ALabrinidis,2016
92/2820,135/5141,2013
92/2820,05/5881,2011
92/2820,g/DimitriosGunopulos,2011
92/2820,05/5881,2009
k/AlfonsKemper,167/6469,2021
k/AlfonsKemper,s/KaiUweSattler,2021
k/AlfonsKemper,10/11150,2021
k/AlfonsKemper,164/7451,2021
k/AlfonsKemper,s/KaiUweSattler,2020
k/AlfonsKemper,10/11150,2020
k/AlfonsKemper,175/1473,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,26/6037,2020
k/AlfonsKemper,b/PeterABoncz,2020
k/AlfonsKemper,32/7263,2020
k/AlfonsKemper,164/7451,2020
k/AlfonsKemper,05/264,2020
k/AlfonsKemper,16/8981,2020
k/AlfonsKemper,b/PeterABoncz,2019
k/AlfonsKemper,10/11150,2019
k/AlfonsKemper,s/TimosKSellis,2019
k/AlfonsKemper,167/6469,2019
k/AlfonsKemper,s/KaiUweSattler,2019
k/AlfonsKemper,t/JensTeubner,2019
k/AlfonsKemper,175/1473,2019
k/AlfonsKemper,26/6037,2019
k/AlfonsKemper,s/KaiUweSattler,2018
k/AlfonsKemper,167/6469,2018
k/AlfonsKemper,10/11150,2018
k/AlfonsKemper,58/4127,2018
k/AlfonsKemper,b/PeterABoncz,2018
k/AlfonsKemper,02/3658,2017
k/AlfonsKemper,58/4127,2017
k/AlfonsKemper,10/11150,2017
k/AlfonsKemper,167/6469,2017
k/AlfonsKemper,89/6071,2017
k/AlfonsKemper,89/6071,2016
k/AlfonsKemper,10/11150,2016
k/AlfonsKemper,98/7258,2016
k/AlfonsKemper,s/TimosKSellis,2016
k/AlfonsKemper,b/PeterABoncz,2016
k/AlfonsKemper,167/6469,2016
k/AlfonsKemper,89/6071,2015
k/AlfonsKemper,10/11150,2015
k/AlfonsKemper,b/PeterABoncz,2015
k/AlfonsKemper,167/6469,2015
k/AlfonsKemper,10/11150,2014
k/AlfonsKemper,04/5404,2014
k/AlfonsKemper,77/6778,2014
k/AlfonsKemper,b/PeterABoncz,2014
k/AlfonsKemper,76/3961,2014
k/AlfonsKemper,l/WLehner,2013
k/AlfonsKemper,10/11150,2013
k/AlfonsKemper,g/MatteoGolfarelli,2013
k/AlfonsKemper,76/3961,2013
k/AlfonsKemper,08/3969,2013
k/AlfonsKemper,l/UlfLeser,2013
k/AlfonsKemper,89/6071,2013
k/AlfonsKemper,10/11150,2012
k/AlfonsKemper,76/3961,2012
k/AlfonsKemper,76/3961,2011
k/AlfonsKemper,m/VMarkl,2011
k/AlfonsKemper,s/KaiUweSattler,2011
k/AlfonsKemper,g/TorstenGrust,2008
k/AlfonsKemper,k/DonaldKossmann,2003
k/AlfonsKemper,k/DonaldKossmann,2002
k/AlfonsKemper,k/DonaldKossmann,2001
k/AlfonsKemper,r/KARoss,2000
k/AlfonsKemper,s/SSudarshan1,2000
k/AlfonsKemper,k/DonaldKossmann,2000
k/AlfonsKemper,k/DonaldKossmann,1999
k/AlfonsKemper,k/DonaldKossmann,1998
k/AlfonsKemper,k/DonaldKossmann,1997
k/AlfonsKemper,k/DonaldKossmann,1995
k/AlfonsKemper,k/DonaldKossmann,1994
k/AlfonsKemper,k/DonaldKossmann,1993
159/6520,245/1850,2020
159/6520,245/1850,2019
d/AlinDeutsch,m/IoanaManolescu,2021
d/AlinDeutsch,14/4251,2021
d/AlinDeutsch,19/1082,2021
d/AlinDeutsch,m/IoanaManolescu,2020
d/AlinDeutsch,52/4954-1,2019
d/AlinDeutsch,m/IoanaManolescu,2019
d/AlinDeutsch,p/YPapakonstantinou,2018
d/AlinDeutsch,52/4954-1,2018
d/AlinDeutsch,52/4954-1,2017
d/AlinDeutsch,m/IoanaManolescu,2016
d/AlinDeutsch,52/4954-1,2016
d/AlinDeutsch,m/IoanaManolescu,2015
d/AlinDeutsch,c/CarloCurino,2013
d/AlinDeutsch,31/3455,2011
d/AlinDeutsch,l/ChenLi1,2011
d/AlinDeutsch,p/YPapakonstantinou,2011
d/AlinDeutsch,v/VVassalos,2011
d/AlinDeutsch,c/CarloCurino,2010
d/AlinDeutsch,p/YPapakonstantinou,2010
d/AlinDeutsch,v/VVassalos,2010
d/AlinDeutsch,s/DiveshSrivastava,2010
d/AlinDeutsch,v/VVassalos,2009
d/AlinDeutsch,p/YPapakonstantinou,2009
d/AlinDeutsch,p/YPapakonstantinou,2008
d/AlinDeutsch,c/CarloCurino,2008
d/AlinDeutsch,s/DiveshSrivastava,2008
d/AlinDeutsch,l/BertramLudascher,2007
d/AlinDeutsch,p/YPapakonstantinou,2007
d/AlinDeutsch,p/LucianPopa,2006
d/AlinDeutsch,t/ValTannen,2006
d/AlinDeutsch,p/YPapakonstantinou,2006
d/AlinDeutsch,t/ValTannen,2005
d/AlinDeutsch,p/YPapakonstantinou,2005
d/AlinDeutsch,l/BertramLudascher,2005
d/AlinDeutsch,b/MarcoBrambilla,2005
d/AlinDeutsch,c/VassilisChristophides,2005
d/AlinDeutsch,p/YPapakonstantinou,2004
d/AlinDeutsch,t/ValTannen,2003
d/AlinDeutsch,p/YPapakonstantinou,2003
d/AlinDeutsch,t/ValTannen,2001
d/AlinDeutsch,p/LucianPopa,2000
d/AlinDeutsch,t/ValTannen,2000
d/AlinDeutsch,h/AlonYHalevy,1999
d/AlinDeutsch,s/DanSuciu,1999
d/AlinDeutsch,p/LucianPopa,1999
d/AlinDeutsch,t/ValTannen,1999
d/AlinDeutsch,t/WangChiewTan,1998
d/AlinDeutsch,h/AlonYHalevy,1998
d/AlinDeutsch,s/DanSuciu,1998
134/9031,04/5404,2021
134/9031,f/JulianaFreire,2021
134/9031,f/JulianaFreire,2020
134/9031,s/DiveshSrivastava,2020
134/9031,04/5404,2019
134/9031,m/MirellaMouraMoro,2019
134/9031,f/JulianaFreire,2019
134/9031,s/DiveshSrivastava,2019
134/9031,f/JulianaFreire,2016
134/9031,04/5404,2016
134/9031,77/6778,2016
164/1401,177/8852,2020
164/1401,i/IhabFIlyas,2020
164/1401,74/3195,2020
164/1401,i/IhabFIlyas,2019
p/NeoklisPolyzotis,36/2133,2021
p/NeoklisPolyzotis,26/6037,2020
p/NeoklisPolyzotis,w/StevenEuijongWhang,2020
p/NeoklisPolyzotis,44/4775-2,2020
p/NeoklisPolyzotis,77/4620,2019
p/NeoklisPolyzotis,25/7592,2019
p/NeoklisPolyzotis,97/919-1,2019
p/NeoklisPolyzotis,26/6037,2019
p/NeoklisPolyzotis,w/StevenEuijongWhang,2019
p/NeoklisPolyzotis,44/4775-2,2019
p/NeoklisPolyzotis,44/4775-2,2018
p/NeoklisPolyzotis,w/StevenEuijongWhang,2018
p/NeoklisPolyzotis,26/6037,2018
p/NeoklisPolyzotis,r/MayaRamanath,2018
p/NeoklisPolyzotis,f/JulianaFreire,2018
p/NeoklisPolyzotis,44/4775-2,2017
p/NeoklisPolyzotis,w/StevenEuijongWhang,2017
p/NeoklisPolyzotis,26/6037,2017
p/NeoklisPolyzotis,h/AlonYHalevy,2016
p/NeoklisPolyzotis,k/FlipKorn,2016
p/NeoklisPolyzotis,44/4775-2,2016
p/NeoklisPolyzotis,w/StevenEuijongWhang,2016
p/NeoklisPolyzotis,25/7592,2015
p/NeoklisPolyzotis,168/0294,2015
p/NeoklisPolyzotis,m/SamuelMadden,2015
p/NeoklisPolyzotis,a/AnastassiaAilamaki,2015
p/NeoklisPolyzotis,25/7592,2014
p/NeoklisPolyzotis,m/SamuelMadden,2014
p/NeoklisPolyzotis,31/3455,2014
p/NeoklisPolyzotis,98/6876,2013
p/NeoklisPolyzotis,m/TovaMilo,2013
p/NeoklisPolyzotis,89/6502,2013
p/NeoklisPolyzotis,52/1382,2013
p/NeoklisPolyzotis,31/3455,2013
p/NeoklisPolyzotis,a/AnastassiaAilamaki,2013
p/NeoklisPolyzotis,52/1382,2012
p/NeoklisPolyzotis,31/3455,2012
p/NeoklisPolyzotis,89/6502,2012
p/NeoklisPolyzotis,m/TovaMilo,2012
p/NeoklisPolyzotis,t/WangChiewTan,2012
p/NeoklisPolyzotis,a/AnastassiaAilamaki,2011
p/NeoklisPolyzotis,a/FotoNAfrati,2011
p/NeoklisPolyzotis,31/3455,2011
p/NeoklisPolyzotis,98/6876,2010
p/NeoklisPolyzotis,m/TovaMilo,2010
p/NeoklisPolyzotis,a/FotoNAfrati,2010
p/NeoklisPolyzotis,31/3455,2010
p/NeoklisPolyzotis,i/IhabFIlyas,2010
p/NeoklisPolyzotis,14/6896,2010
p/NeoklisPolyzotis,a/AnastassiaAilamaki,2010
p/NeoklisPolyzotis,m/TovaMilo,2009
p/NeoklisPolyzotis,c/CheeYongChan,2009
p/NeoklisPolyzotis,r/MayaRamanath,2009
p/NeoklisPolyzotis,f/JulianaFreire,2009
p/NeoklisPolyzotis,74/6086,2008
p/NeoklisPolyzotis,m/IoanaManolescu,2008
p/NeoklisPolyzotis,d/JensPeterDittrich,2008
p/NeoklisPolyzotis,12/225,2008
p/NeoklisPolyzotis,01/5237,2008
p/NeoklisPolyzotis,s/ASimitsis,2008
p/NeoklisPolyzotis,g/MinosNGarofalakis,2008
p/NeoklisPolyzotis,m/IoanaManolescu,2007
p/NeoklisPolyzotis,m/TovaMilo,2007
p/NeoklisPolyzotis,01/5237,2007
p/NeoklisPolyzotis,s/ASimitsis,2007
p/NeoklisPolyzotis,g/MinosNGarofalakis,2006
p/NeoklisPolyzotis,m/TovaMilo,2006
p/NeoklisPolyzotis,g/MinosNGarofalakis,2004
p/NeoklisPolyzotis,g/MinosNGarofalakis,2002
s/ASimitsis,d/ADeligiannakis,2021
s/ASimitsis,17/1242,2021
s/ASimitsis,17/1242,2020
s/ASimitsis,d/ADeligiannakis,2020
s/ASimitsis,g/MinosNGarofalakis,2020
s/ASimitsis,k/GeorgiaKoutrika,2017
s/ASimitsis,p/TorbenBachPedersen,2015
s/ASimitsis,k/GeorgiaKoutrika,2013
s/ASimitsis,44/2379,2012
s/ASimitsis,k/GeorgiaKoutrika,2012
s/ASimitsis,44/2379,2011
s/ASimitsis,19/4428,2010
s/ASimitsis,s/TimosKSellis,2010
s/ASimitsis,k/GeorgiaKoutrika,2010
s/ASimitsis,44/2379,2010
s/ASimitsis,s/TimosKSellis,2009
s/ASimitsis,44/2379,2009
s/ASimitsis,19/4428,2009
s/ASimitsis,k/VerenaKantere,2009
s/ASimitsis,p/NeoklisPolyzotis,2008
s/ASimitsis,01/5237,2008
s/ASimitsis,k/GeorgiaKoutrika,2008
s/ASimitsis,44/2379,2008
s/ASimitsis,19/4428,2008
s/ASimitsis,s/TimosKSellis,2008
s/ASimitsis,s/TimosKSellis,2007
s/ASimitsis,44/2379,2007
s/ASimitsis,p/NeoklisPolyzotis,2007
s/ASimitsis,01/5237,2007
s/ASimitsis,k/GeorgiaKoutrika,2007
s/ASimitsis,k/VerenaKantere,2007
s/ASimitsis,k/GeorgiaKoutrika,2006
s/ASimitsis,t/ManolisTerrovitis,2005
s/ASimitsis,01/5237,2005
s/ASimitsis,s/TimosKSellis,2005
s/ASimitsis,t/ManolisTerrovitis,2003
s/ASimitsis,01/5237,2002
h/AlonYHalevy,t/NesimeTatbul,2021
h/AlonYHalevy,52/4954-1,2021
h/AlonYHalevy,t/WangChiewTan,2021
h/AlonYHalevy,83/9923,2020
h/AlonYHalevy,52/4954-1,2019
h/AlonYHalevy,t/WangChiewTan,2019
h/AlonYHalevy,a/DJAbadi,2019
h/AlonYHalevy,a/AnastassiaAilamaki,2019
h/AlonYHalevy,47/8816,2019
h/AlonYHalevy,b/MagdalenaBalazinska,2019
h/AlonYHalevy,b/PhilipABernstein,2019
h/AlonYHalevy,b/PeterABoncz,2019
h/AlonYHalevy,c/SurajitChaudhuri,2019
h/AlonYHalevy,16/4915,2019
h/AlonYHalevy,d/AnHaiDoan,2019
h/AlonYHalevy,d/XinLunaDong,2019
h/AlonYHalevy,f/MJFranklin,2019
h/AlonYHalevy,f/JulianaFreire,2019
h/AlonYHalevy,i/StratosIdreos,2019
h/AlonYHalevy,k/DonaldKossmann,2019
h/AlonYHalevy,26/6037,2019
h/AlonYHalevy,m/VMarkl,2019
h/AlonYHalevy,m/TovaMilo,2019
h/AlonYHalevy,m/CMohan,2019
h/AlonYHalevy,o/BengChinOoi,2019
h/AlonYHalevy,o/FatmaOzcan,2019
h/AlonYHalevy,58/4127,2019
h/AlonYHalevy,91/275,2019
h/AlonYHalevy,r/ChristopherRe,2019
h/AlonYHalevy,s/MichaelStonebraker,2019
h/AlonYHalevy,s/DanSuciu,2019
h/AlonYHalevy,188/9073,2019
h/AlonYHalevy,j/HVJagadish,2019
h/AlonYHalevy,117/4879-1,2019
h/AlonYHalevy,t/WangChiewTan,2018
h/AlonYHalevy,d/AnHaiDoan,2018
h/AlonYHalevy,117/4879-1,2018
h/AlonYHalevy,82/231,2018
h/AlonYHalevy,58/3771,2018
h/AlonYHalevy,27/2143,2018
h/AlonYHalevy,41/3679,2018
h/AlonYHalevy,d/XinLunaDong,2018
h/AlonYHalevy,t/WangChiewTan,2017
h/AlonYHalevy,a/DJAbadi,2016
h/AlonYHalevy,a/AnastassiaAilamaki,2016
h/AlonYHalevy,b/MagdalenaBalazinska,2016
h/AlonYHalevy,b/PhilipABernstein,2016
h/AlonYHalevy,31/3455,2016
h/AlonYHalevy,c/SurajitChaudhuri,2016
h/AlonYHalevy,d/AnHaiDoan,2016
h/AlonYHalevy,f/MJFranklin,2016
h/AlonYHalevy,g/JohannesGehrke,2016
h/AlonYHalevy,j/HVJagadish,2016
h/AlonYHalevy,k/DonaldKossmann,2016
h/AlonYHalevy,m/SamuelMadden,2016
h/AlonYHalevy,m/SharadMehrotra,2016
h/AlonYHalevy,m/TovaMilo,2016
h/AlonYHalevy,n/JeffreyFNaughton,2016
h/AlonYHalevy,m/VMarkl,2016
h/AlonYHalevy,o/BengChinOoi,2016
h/AlonYHalevy,r/ChristopherRe,2016
h/AlonYHalevy,s/DanSuciu,2016
h/AlonYHalevy,s/MichaelStonebraker,2016
h/AlonYHalevy,k/FlipKorn,2016
h/AlonYHalevy,p/NeoklisPolyzotis,2016
h/AlonYHalevy,44/4775-2,2016
h/AlonYHalevy,w/StevenEuijongWhang,2016
h/AlonYHalevy,58/3771,2015
h/AlonYHalevy,85/9079,2015
h/AlonYHalevy,w/StevenEuijongWhang,2015
h/AlonYHalevy,w/StevenEuijongWhang,2014
h/AlonYHalevy,a/DJAbadi,2014
h/AlonYHalevy,a/AnastassiaAilamaki,2014
h/AlonYHalevy,b/MagdalenaBalazinska,2014
h/AlonYHalevy,b/PhilipABernstein,2014
h/AlonYHalevy,31/3455,2014
h/AlonYHalevy,c/SurajitChaudhuri,2014
h/AlonYHalevy,d/AnHaiDoan,2014
h/AlonYHalevy,f/MJFranklin,2014
h/AlonYHalevy,g/JohannesGehrke,2014
h/AlonYHalevy,j/HVJagadish,2014
h/AlonYHalevy,k/DonaldKossmann,2014
h/AlonYHalevy,m/SamuelMadden,2014
h/AlonYHalevy,m/SharadMehrotra,2014
h/AlonYHalevy,m/TovaMilo,2014
h/AlonYHalevy,n/JeffreyFNaughton,2014
h/AlonYHalevy,m/VMarkl,2014
h/AlonYHalevy,o/BengChinOoi,2014
h/AlonYHalevy,r/ChristopherRe,2014
h/AlonYHalevy,s/DanSuciu,2014
h/AlonYHalevy,s/MichaelStonebraker,2014
h/AlonYHalevy,b/MarcoBrambilla,2013
h/AlonYHalevy,58/3771,2013
h/AlonYHalevy,d/AnHaiDoan,2012
h/AlonYHalevy,i/ZacharyGIves,2012
h/AlonYHalevy,58/3771,2012
h/AlonYHalevy,82/231,2011
h/AlonYHalevy,d/AnHaiDoan,2011
h/AlonYHalevy,j/ChristianSJensen,2011
h/AlonYHalevy,d/XinLunaDong,2011
